iter	Passed	Remaining
0	168	168589
1	179	89350
2	188	62527
3	198	49329
4	209	41757
5	218	36264
6	229	32505
7	238	29596
8	248	27338
9	259	25717
10	269	24237
11	280	23116
12	290	22019
13	299	21123
14	309	20348
15	319	19618
16	330	19088
17	339	18539
18	347	17932
19	357	17500
20	366	17091
21	381	16960
22	393	16723
23	404	16448
24	417	16280
25	428	16060
26	437	15755
27	449	15603
28	461	15462
29	474	15333
30	485	15189
31	498	15071
32	510	14962
33	523	14872
34	533	14722
35	544	14581
36	558	14525
37	569	14410
38	577	14218
39	587	14098
40	597	13974
41	610	13919
42	621	13825
43	631	13715
44	640	13594
45	651	13516
46	660	13399
47	673	13363
48	685	13299
49	696	13238
50	706	13152
51	717	13084
52	727	12996
53	738	12935
54	747	12846
55	761	12829
56	774	12809
57	791	12847
58	802	12803
59	816	12791
60	826	12715
61	835	12635
62	845	12579
63	855	12512
64	865	12454
65	874	12378
66	886	12349
67	897	12302
68	914	12336
69	924	12286
70	940	12300
71	952	12271
72	963	12241
73	979	12258
74	998	12311
75	1006	12240
76	1022	12262
77	1038	12271
78	1050	12244
79	1062	12221
80	1077	12223
81	1104	12363
82	1120	12374
83	1138	12416
84	1154	12423
85	1170	12444
86	1188	12476
87	1198	12421
88	1210	12386
89	1219	12331
90	1236	12356
91	1251	12353
92	1267	12363
93	1283	12366
94	1296	12348
95	1311	12346
96	1329	12373
97	1340	12340
98	1354	12325
99	1363	12270
100	1374	12237
101	1391	12246
102	1403	12220
103	1416	12200
104	1425	12151
105	1435	12110
106	1448	12092
107	1457	12039
108	1468	12005
109	1478	11963
110	1491	11947
111	1503	11922
112	1514	11890
113	1524	11850
114	1537	11830
115	1548	11800
116	1559	11772
117	1576	11784
118	1588	11762
119	1601	11747
120	1611	11703
121	1621	11668
122	1632	11640
123	1643	11611
124	1655	11587
125	1666	11559
126	1680	11553
127	1690	11514
128	1698	11469
129	1707	11427
130	1716	11388
131	1730	11376
132	1738	11329
133	1748	11299
134	1761	11287
135	1772	11260
136	1783	11235
137	1797	11227
138	1807	11193
139	1817	11166
140	1830	11152
141	1841	11125
142	1854	11114
143	1865	11089
144	1874	11054
145	1889	11054
146	1898	11017
147	1911	11002
148	1922	10980
149	1933	10958
150	1944	10931
151	1952	10894
152	1962	10866
153	1972	10836
154	1988	10842
155	1999	10816
156	2011	10802
157	2022	10776
158	2032	10750
159	2043	10727
160	2052	10696
161	2063	10675
162	2075	10655
163	2085	10631
164	2097	10614
165	2109	10597
166	2120	10575
167	2132	10562
168	2142	10535
169	2151	10504
170	2163	10489
171	2174	10468
172	2183	10438
173	2193	10413
174	2206	10404
175	2216	10375
176	2229	10367
177	2241	10351
178	2253	10337
179	2263	10310
180	2272	10284
181	2283	10263
182	2293	10240
183	2309	10242
184	2319	10216
185	2330	10197
186	2340	10176
187	2349	10145
188	2359	10125
189	2370	10105
190	2380	10081
191	2395	10078
192	2404	10054
193	2415	10035
194	2424	10010
195	2430	9969
196	2439	9943
197	2450	9927
198	2461	9909
199	2472	9889
200	2480	9858
201	2492	9847
202	2505	9837
203	2516	9819
204	2525	9794
205	2535	9772
206	2543	9744
207	2553	9723
208	2567	9716
209	2576	9691
210	2587	9675
211	2599	9660
212	2609	9640
213	2617	9613
214	2628	9596
215	2639	9578
216	2653	9573
217	2663	9554
218	2673	9534
219	2680	9505
220	2693	9492
221	2704	9477
222	2717	9468
223	2728	9451
224	2738	9432
225	2749	9417
226	2761	9404
227	2771	9384
228	2783	9372
229	2794	9355
230	2803	9331
231	2814	9317
232	2824	9299
233	2837	9288
234	2852	9285
235	2864	9273
236	2876	9259
237	2885	9238
238	2897	9226
239	2909	9211
240	2919	9193
241	2930	9178
242	2939	9157
243	2951	9145
244	2963	9132
245	2973	9113
246	2982	9092
247	2993	9077
248	3005	9064
249	3014	9044
250	3026	9031
251	3037	9016
252	3048	9000
253	3063	8997
254	3071	8974
255	3085	8967
256	3094	8946
257	3106	8932
258	3116	8916
259	3126	8898
260	3141	8894
261	3155	8888
262	3166	8872
263	3178	8860
264	3189	8846
265	3200	8830
266	3210	8813
267	3220	8796
268	3229	8775
269	3239	8759
270	3255	8756
271	3266	8742
272	3276	8724
273	3285	8704
274	3299	8697
275	3308	8678
276	3319	8664
277	3332	8655
278	3344	8642
279	3355	8628
280	3366	8612
281	3378	8602
282	3389	8586
283	3404	8582
284	3416	8571
285	3426	8554
286	3437	8539
287	3448	8526
288	3461	8514
289	3471	8498
290	3483	8487
291	3493	8470
292	3504	8456
293	3515	8442
294	3531	8438
295	3540	8421
296	3550	8404
297	3561	8390
298	3572	8375
299	3588	8373
300	3601	8363
301	3612	8350
302	3628	8346
303	3639	8332
304	3652	8323
305	3664	8311
306	3676	8299
307	3689	8288
308	3700	8276
309	3711	8261
310	3725	8253
311	3737	8240
312	3748	8226
313	3758	8212
314	3769	8197
315	3782	8186
316	3793	8173
317	3806	8163
318	3817	8150
319	3828	8134
320	3839	8121
321	3848	8103
322	3857	8086
323	3870	8076
324	3881	8060
325	3891	8046
326	3903	8032
327	3914	8020
328	3933	8022
329	3943	8007
330	3954	7992
331	3964	7976
332	3978	7969
333	3990	7957
334	4002	7945
335	4013	7931
336	4026	7922
337	4036	7906
338	4048	7893
339	4058	7877
340	4067	7860
341	4080	7850
342	4087	7829
343	4098	7815
344	4109	7802
345	4122	7791
346	4133	7779
347	4146	7768
348	4156	7753
349	4167	7740
350	4180	7729
351	4189	7713
352	4202	7702
353	4216	7695
354	4229	7685
355	4243	7676
356	4254	7663
357	4269	7656
358	4284	7650
359	4296	7637
360	4306	7623
361	4319	7612
362	4331	7600
363	4342	7587
364	4355	7578
365	4366	7563
366	4378	7552
367	4391	7541
368	4401	7527
369	4414	7517
370	4426	7505
371	4443	7500
372	4452	7484
373	4462	7470
374	4473	7456
375	4484	7442
376	4498	7433
377	4507	7417
378	4526	7416
379	4538	7404
380	4548	7390
381	4562	7381
382	4574	7369
383	4587	7359
384	4598	7346
385	4610	7334
386	4621	7320
387	4634	7310
388	4647	7299
389	4663	7293
390	4674	7280
391	4686	7269
392	4700	7259
393	4719	7258
394	4732	7247
395	4745	7238
396	4760	7231
397	4773	7219
398	4785	7208
399	4799	7199
400	4810	7185
401	4822	7174
402	4834	7161
403	4843	7145
404	4857	7135
405	4869	7124
406	4883	7114
407	4895	7102
408	4907	7091
409	4919	7078
410	4932	7069
411	4942	7053
412	4960	7051
413	4971	7036
414	4982	7024
415	4993	7010
416	5005	6998
417	5016	6984
418	5029	6974
419	5040	6960
420	5051	6947
421	5064	6936
422	5076	6924
423	5086	6910
424	5106	6908
425	5117	6895
426	5128	6881
427	5139	6868
428	5150	6855
429	5161	6841
430	5175	6832
431	5186	6818
432	5197	6805
433	5208	6793
434	5218	6777
435	5229	6764
436	5243	6754
437	5255	6742
438	5265	6728
439	5276	6715
440	5291	6707
441	5302	6694
442	5316	6684
443	5328	6672
444	5338	6658
445	5350	6645
446	5362	6633
447	5371	6617
448	5379	6602
449	5390	6588
450	5402	6575
451	5415	6565
452	5425	6551
453	5442	6545
454	5452	6530
455	5462	6516
456	5476	6507
457	5494	6501
458	5507	6491
459	5519	6479
460	5530	6466
461	5543	6455
462	5555	6443
463	5566	6429
464	5577	6416
465	5591	6407
466	5603	6395
467	5613	6381
468	5626	6369
469	5639	6359
470	5650	6346
471	5661	6333
472	5672	6320
473	5687	6311
474	5701	6301
475	5712	6288
476	5723	6275
477	5734	6262
478	5745	6249
479	5758	6238
480	5774	6230
481	5787	6219
482	5800	6209
483	5812	6197
484	5824	6184
485	5838	6175
486	5848	6160
487	5857	6145
488	5867	6130
489	5878	6118
490	5893	6109
491	5906	6098
492	5918	6086
493	5931	6075
494	5944	6064
495	5955	6051
496	5967	6039
497	5979	6027
498	5992	6016
499	6004	6004
500	6014	5990
501	6028	5980
502	6039	5967
503	6050	5954
504	6061	5941
505	6071	5927
506	6083	5915
507	6095	5903
508	6109	5893
509	6119	5879
510	6131	5867
511	6145	5857
512	6159	5847
513	6173	5837
514	6183	5823
515	6193	5809
516	6203	5795
517	6217	5785
518	6228	5772
519	6239	5759
520	6253	5749
521	6266	5738
522	6284	5732
523	6296	5720
524	6306	5705
525	6314	5690
526	6330	5682
527	6342	5670
528	6357	5660
529	6367	5646
530	6380	5635
531	6392	5623
532	6402	5609
533	6412	5595
534	6425	5585
535	6436	5572
536	6448	5560
537	6461	5548
538	6473	5536
539	6487	5526
540	6499	5514
541	6509	5500
542	6522	5489
543	6535	5478
544	6545	5464
545	6556	5451
546	6570	5441
547	6582	5429
548	6594	5417
549	6605	5404
550	6615	5390
551	6629	5380
552	6639	5366
553	6652	5355
554	6664	5343
555	6682	5336
556	6693	5323
557	6703	5310
558	6718	5300
559	6730	5288
560	6740	5274
561	6752	5262
562	6768	5253
563	6780	5242
564	6790	5227
565	6803	5216
566	6818	5207
567	6829	5194
568	6842	5182
569	6850	5168
570	6858	5153
571	6872	5142
572	6884	5130
573	6895	5117
574	6906	5104
575	6920	5094
576	6931	5081
577	6944	5070
578	6957	5058
579	6968	5046
580	6982	5035
581	6994	5023
582	7005	5011
583	7018	4999
584	7032	4988
585	7041	4974
586	7050	4960
587	7061	4948
588	7074	4936
589	7086	4924
590	7097	4911
591	7113	4902
592	7125	4890
593	7135	4876
594	7147	4864
595	7158	4852
596	7168	4838
597	7180	4827
598	7195	4816
599	7207	4804
600	7221	4794
601	7233	4782
602	7245	4770
603	7256	4757
604	7265	4743
605	7275	4730
606	7285	4717
607	7297	4705
608	7311	4694
609	7327	4684
610	7339	4672
611	7348	4658
612	7359	4646
613	7372	4634
614	7384	4622
615	7397	4611
616	7408	4598
617	7421	4587
618	7434	4575
619	7448	4565
620	7460	4553
621	7474	4542
622	7486	4530
623	7499	4518
624	7511	4506
625	7521	4493
626	7533	4481
627	7544	4469
628	7559	4458
629	7570	4445
630	7580	4432
631	7592	4420
632	7603	4408
633	7617	4397
634	7631	4386
635	7646	4376
636	7656	4363
637	7669	4351
638	7679	4338
639	7690	4325
640	7700	4312
641	7712	4300
642	7722	4287
643	7737	4277
644	7753	4267
645	7768	4256
646	7780	4245
647	7793	4233
648	7804	4220
649	7814	4208
650	7827	4196
651	7842	4185
652	7858	4175
653	7873	4165
654	7883	4152
655	7900	4142
656	7913	4131
657	7925	4119
658	7936	4106
659	7947	4093
660	7958	4081
661	7973	4071
662	7989	4061
663	8001	4048
664	8013	4036
665	8027	4025
666	8036	4012
667	8046	3999
668	8057	3986
669	8068	3973
